px	py	v	yaw_angle	yaw_rate	px_measured	py_measured	px_true	py_true	vx_true	vy_true	NIS
9.62708	-5.11647	-2.31421	-2.54806	0.02351	9.75019	-5.14652	9.65	-5.05	1.82036	1.82036	1.61808
9.74679	-5.00783	-2.39841	-2.52604	0.0461512	9.7586	-4.93134	9.75	-4.95	1.82036	1.82037	0.400654
9.8316	-4.92335	-2.25357	-2.497	0.0876615	9.9198	-4.86941	9.85	-4.85	1.81578	1.81577	1.35144
9.94413	-4.8135	-2.33466	-2.47335	0.108133	9.95641	-4.74358	9.95	-4.75	1.81575	1.81575	0.339935
10.0161	-4.71797	-2.19084	-2.43171	0.160037	10.0029	-4.54771	10.05	-4.6	1.82039	2.7306	1.74152
10.129	-4.57653	-2.33581	-2.38969	0.195853	10.1428	-4.45119	10.15	-4.45	1.8204	2.7306	1.0684
10.2102	-4.46926	-2.29376	-2.35323	0.230793	10.1981	-4.26556	10.25	-4.3	1.81769	2.72652	0.812802
10.3291	-4.30376	-2.48491	-2.30474	0.269497	10.3644	-4.16342	10.35	-4.15	1.81768	2.7265	1.44949
10.4569	-4.19885	-2.64562	-2.32226	0.219784	10.5985	-4.12247	10.45	-4.05	1.81792	1.81792	1.61163
10.5626	-4.04324	-2.75179	-2.28444	0.246764	10.5415	-3.9454	10.55	-3.95	1.8179	1.8179	0.649554
10.6643	-3.92135	-2.77268	-2.26859	0.249354	10.7092	-3.85166	10.65	-3.85	1.81903	1.81904	0.0655806
10.7646	-3.78492	-2.81724	-2.24611	0.258653	10.7616	-3.75002	10.75	-3.75	1.81902	1.81903	0.0834468
10.8085	-3.65248	-2.61273	-2.17237	0.349329	10.795	-3.60617	10.8	-3.6	0.909773	2.72931	3.65952
10.885	-3.50979	-2.65776	-2.13982	0.363001	10.8527	-3.46164	10.85	-3.45	0.909764	2.72928	0.204306
